variavel_original,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ANO_CONCLUIU,False,False,False,True,False,False,False,False,False,False,False,False,False,False
CO_MUNICIPIO_ESC,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CO_MUNICIPIO_PROVA,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CO_PROVA_CH,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CO_PROVA_CN,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CO_PROVA_LC,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CO_PROVA_MT,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CO_UF_ENTIDADE_CERTIFICACAO,False,True,True,True,True,True,True,False,False,False,False,False,False,False
CO_UF_ESC,True,True,True,True,True,True,True,True,True,True,True,True,True,True
CO_UF_PROVA,True,True,True,True,True,True,True,True,True,True,True,True,True,True
IN_CERTIFICADO,True,True,True,True,True,True,True,False,False,False,False,False,False,False
IN_TREINEIRO,False,False,False,False,False,True,True,True,True,True,True,True,True,True
NO_ENTIDADE_CERTIFICACAO,False,True,True,True,True,True,True,False,False,False,False,False,False,False
NO_MUNICIPIO_ESC,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NO_MUNICIPIO_PROVA,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NU_ANO,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NU_INSCRICAO,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NU_NOTA_CH,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NU_NOTA_CN,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NU_NOTA_COMP1,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NU_NOTA_COMP2,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NU_NOTA_COMP3,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NU_NOTA_COMP4,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NU_NOTA_COMP5,True,True,True,True,True,True,True,True,True,True,True,True,True,True
NU_NOTA_LC,True,True,True,True,True,True,True,True,True,True,True,True,True,True
