ano_dado,variavel,linhas,nao_ausentes,minimo,maximo,ausentes
2010,agua_encanada_atlas_pct,5564,5564,0.15,100.0,0
2010,agua_esgoto_inadequados_atlas_pct,5564,5564,0.0,85.36,0
2010,analfabetismo_15mais_atlas_pct,5564,5564,0.95,44.4,0
2010,area_km2,5565,5565,3.6,159533.4,0
2010,atendimento_escolar_15a17_atlas_pct,5564,5564,50.11,100.0,0
2010,atendimento_escolar_6a14_atlas_pct,5564,5564,51.77,100.0,0
2010,cempre_pessoal_assalariado_ate2021,5570,5565,3.0,4906877.0,5
2010,cempre_pessoal_ocupado_ate2021,5570,5565,11.0,5669617.0,5
2010,cempre_remuneracoes_mil_reais_ate2021,5570,5565,48.0,142150179.0,5
2010,cempre_salario_medio_salarios_minimos_ate2021,5570,5565,0.5,34.4,5
2010,cempre_unidades_locais_ate2021,5570,5565,7.0,577190.0,5
2010,coleta_lixo_urbano_atlas_pct,5564,5564,0.0,100.0,0
2010,densidade_hab_km2,5565,5565,0.13,13024.56,0
2010,desocupacao_18mais_atlas_pct,5564,5564,0.0,38.45,0
2010,educ_abandono_fundamental_anos_finais_pct,5565,5565,0.0,45.1,0
2010,educ_abandono_fundamental_anos_iniciais_pct,5565,5565,0.0,25.4,0
2010,educ_abandono_fundamental_pct,5565,5565,0.0,34.1,0
2010,educ_abandono_medio_pct,5565,5551,0.0,55.8,14
2010,educ_aprovacao_fundamental_anos_finais_pct,5565,5565,39.9,100.0,0
2010,educ_aprovacao_fundamental_anos_iniciais_pct,5565,5565,56.8,100.0,0
2010,educ_aprovacao_fundamental_pct,5565,5565,51.5,100.0,0
2010,educ_aprovacao_medio_pct,5565,5551,25.0,100.0,14
2010,educ_reprovacao_fundamental_anos_finais_pct,5565,5565,0.0,51.0,0
2010,educ_reprovacao_fundamental_anos_iniciais_pct,5565,5565,0.0,34.8,0
2010,educ_reprovacao_fundamental_pct,5565,5565,0.0,34.3,0
2010,educ_reprovacao_medio_pct,5565,5551,0.0,50.5,14
2010,ensino_medio_completo_25mais_atlas_pct,5564,5564,3.46,65.86,0
2010,extrema_pobreza_atlas_pct,5564,5564,0.0,69.67,0
2010,frequencia_liquida_medio_atlas_pct,5564,5564,0.0,91.3,0
2010,gini_atlas,5564,5564,0.28,0.8,0
2010,idhm,5564,5564,0.418,0.862,0
2010,idhm_educacao,5564,5564,0.207,0.825,0
2010,impostos_liquidos_mil_reais,5565,5565,-15088.399,85320191.365,0
2010,ocupados_agropecuaria_atlas_pct,5564,5564,0.06,85.12,0
2010,ocupados_comercio_atlas_pct,5564,5564,0.74,36.57,0
2010,ocupados_servicos_atlas_pct,5564,5564,8.5,78.23,0
2010,pib_mil_reais,5565,5565,7217.765,450491987.985,0
2010,pib_per_capita_reais,5565,5565,2256.42,312220.71,0
2010,pobreza_atlas_pct,5564,5564,0.0,78.59,0
2010,populacao,5565,5565,805.0,11253503.0,0
2010,renda_per_capita_atlas_reais2010,5564,5564,96.25,2043.74,0
2010,sidra_1552_v1000093_c1_0,5565,5565,100.0,100.0,0
2010,sidra_1552_v1000093_c1_1,5565,5565,4.18,100.0,0
2010,sidra_1552_v1000093_c1_2,5565,5565,0.0,95.82,0
2010,sidra_1552_v93_c1_1,5565,5565,174.0,11152344.0,0
2010,sidra_1552_v93_c1_2,5565,5565,0.0,125336.0,0
2010,sidra_3540_v1000140_c1568_0,5565,5565,100.0,100.0,0
2010,sidra_3540_v1000140_c1568_11626,5565,5565,0.0,6.48,0
2010,sidra_3540_v1000140_c1568_9493,5565,5565,26.0,90.62,0
2010,sidra_3540_v1000140_c1568_9494,5565,5565,4.33,35.13,0
2010,sidra_3540_v1000140_c1568_9495,5565,5565,1.52,40.88,0
2010,sidra_3540_v1000140_c1568_99713,5565,5565,0.18,26.69,0
2010,sidra_3540_v140_c1568_0,5565,5565,710.0,9783868.0,0
2010,sidra_3540_v140_c1568_11626,5565,5565,0.0,119765.0,0
2010,sidra_3540_v140_c1568_9493,5565,5565,381.0,3683120.0,0
