ano_enem,tipo_localizacao,municipios_integrados_automaticamente,municipios_integrados_apos_tratamento,codigos_nao_integrados,registros_com_codigo_integrado,registros_sem_codigo,registros_com_codigo_nao_integrado,registros_descartados
2010,escola,5548,0,0,1379436,3232178,0,0
2010,prova,1682,0,0,4611614,0,0,0
2011,escola,5549,0,0,1203462,4163469,0,0
2011,prova,1586,0,0,5366931,0,0,0
2012,escola,5553,0,0,1525881,4265184,0,0
2012,prova,1599,0,0,5791065,0,0,0
2013,escola,5560,0,0,1635848,5537715,0,0
2013,prova,1644,0,0,7173563,0,0,0
2014,escola,5562,0,0,1758351,6963897,0,0
2014,prova,1736,0,0,8722248,0,0,0
2015,escola,5563,0,0,1649258,6097169,0,0
2015,prova,1723,0,0,7746427,0,0,0
2016,escola,5559,0,0,1881223,6745956,0,0
2016,prova,1727,0,0,8627179,0,0,0
2017,escola,5553,0,0,1785881,4945397,0,0
2017,prova,1725,0,0,6731278,0,0,0
2018,escola,5558,0,0,1448816,4064917,0,0
2018,prova,1725,0,0,5513733,0,0,0
2019,escola,5544,0,0,1147387,3947784,0,0
2019,prova,1727,0,0,5095171,0,0,0
2020,escola,5534,0,0,904569,4878540,0,0
2020,prova,1747,0,0,5783109,0,0,0
2021,escola,5538,0,0,813806,2576026,0,0
2021,prova,1747,0,0,3389832,0,0,0
2022,escola,5537,0,0,951944,2524161,0,0
2022,prova,1747,0,0,3476105,0,0,0
2023,escola,5528,0,0,958506,2975449,0,0
2023,prova,1750,0,0,3933955,0,0,0
