Ano;Renda;Pai;Mãe;Moradores;Internet;Computador
2010;Q04;Q02;Q03;Q01;—;—
2011;Q004;Q002;Q003;Q001;Q071;Q064
2012;Q003;Q001;Q002;Q004;Q017;Q010
2013;Q003;Q001;Q002;Q004;Q017;Q010
2014;Q003;Q001;Q002;Q004;Q017;Q010
2015;Q006;Q001;Q002;Q005;Q025;Q024
2016;Q006;Q001;Q002;Q005;Q025;Q024
2017;Q006;Q001;Q002;Q005;Q025;Q024
2018;Q006;Q001;Q002;Q005;Q025;Q024
2019;Q006;Q001;Q002;Q005;Q025;Q024
2020;Q006;Q001;Q002;Q005;Q025;Q024
2021;Q006;Q001;Q002;Q005;Q025;Q024
2022;Q006;Q001;Q002;Q005;Q025;Q024
2023;Q006;Q001;Q002;Q005;Q025;Q024
