Ano;Inscritos;Concluintes declarados;Regular;Presença 4;Elegíveis
2010;4.611.614;1.371.139;1.184.505;983.295;942.815
2011;5.366.931;1.496.981;1.337.096;1.137.809;1.085.774
2012;5.791.065;1.519.281;1.368.187;1.158.254;1.120.623
2013;7.173.563;1.626.936;1.450.939;1.244.981;1.223.600
2014;8.722.248;1.748.632;1.554.925;1.329.734;1.271.051
2015;7.746.427;1.649.860;1.470.357;1.302.179;1.288.668
2016;8.627.179;1.882.219;1.652.430;1.388.001;1.363.720
2017;6.731.278;1.786.686;1.583.723;1.283.913;1.221.511
2018;5.513.733;1.640.094;1.466.283;1.181.382;1.154.920
2019;5.095.171;1.465.862;1.349.054;1.147.694;1.112.725
2020;5.783.109;1.395.827;1.294.245;785.838;768.127
2021;3.389.832;1.150.857;1.089.923;824.871;798.591
2022;3.476.105;1.317.560;1.255.177;934.606;889.248
2023;3.933.955;1.401.164;1.332.195;1.023.863;983.810
