Ano;N elegível;"2 pp; D=2";"1 pp; D=2";"1 pp; D=3";Selecionado
2010;942.815;4.778;18.824;27.957;20.000
2011;1.085.774;4.781;18.874;28.067;20.000
2012;1.120.623;4.782;18.884;28.089;20.000
2013;1.223.600;4.784;18.911;28.149;20.000
2014;1.271.051;4.784;18.922;28.173;20.000
2015;1.288.668;4.785;18.926;28.181;20.000
2016;1.363.720;4.785;18.941;28.215;20.000
2017;1.221.511;4.784;18.910;28.148;20.000
2018;1.154.920;4.782;18.894;28.110;20.000
2019;1.112.725;4.782;18.882;28.084;20.000
2020;768.127;4.772;18.739;27.770;20.000
2021;798.591;4.774;18.757;27.808;20.000
2022;889.248;4.777;18.802;27.907;20.000
2023;983.810;4.779;18.840;27.992;20.000
