Estrato 2023 (região escola | raça | sexo | renda);N_h;n_h;π_h;Peso
Sem_escola|Parda|F|B;40.987;796;0,01942;51,49
Nordeste|Parda|F|B;34.850;677;0,01943;51,48
Nordeste|Parda|M|B;24.206;470;0,01942;51,50
Sem_escola|Branca|F|B;23.087;448;0,01940;51,53
Sem_escola|Parda|M|B;17.041;331;0,01942;51,48
Sem_escola|Parda|F|C;16.212;315;0,01943;51,47
Sem_escola|Branca|F|C;15.022;292;0,01944;51,45
Nordeste|Branca|F|B;13.346;259;0,01941;51,53
Sem_escola|Preta|F|B;12.854;250;0,01945;51,42
Sem_escola|Branca|F|D;11.372;221;0,01943;51,46
