Característica;Categoria;n PNAD;% ponderado;EP (pp)
raca;Amarela;27;0,73;—
raca;Branca;1.737;40,48;—
raca;Ignorada;3;0,11;—
raca;Indigena;31;0,48;—
raca;Parda;2.521;48,79;—
raca;Preta;435;9,41;—
sexo;F;2.442;50,86;—
sexo;M;2.312;49,14;—
regiao;Centro-Oeste;485;8,49;—
regiao;Nordeste;1.654;28,44;—
regiao;Norte;829;11,02;—
regiao;Sudeste;1.067;38,26;—
regiao;Sul;719;13,79;—
renda_faixa;1a2SM;1.150;21,56;—
renda_faixa;2a5SM;1.775;40,19;—
renda_faixa;Sem_renda_informada;1;0,01;—
renda_faixa;ate1SM;905;15,79;—
renda_faixa;mais5SM;923;22,44;—
escola;Privada;575;14,35;—
escola;Publica;4.179;85,65;—
idade_ampla;18a19;1.436;29,00;—
idade_ampla;20mais;556;11,67;—
idade_ampla;ate17;2.762;59,33;—
