Ano;n calibrado;Fora domínio;Kish D;n efetivo;g mínimo;g máximo
2012;19.511;489;1,70;11.493;0,10;6,81
2013;19.533;467;1,70;11.479;0,06;7,09
2014;19.553;447;1,61;12.142;0,04;6,18
2015;19.538;462;1,50;13.018;0,07;5,14
2016;19.523;477;1,48;13.235;0,11;5,56
2017;19.480;520;1,33;14.653;0,11;4,74
2018;19.422;578;1,36;14.230;0,07;4,84
2019;19.402;598;1,41;13.752;0,10;5,65
2020;19.374;626;1,62;11.981;0,12;7,87
2021;19.407;593;2,10;9.243;0,08;13,61
2022;19.440;560;1,92;10.110;0,11;11,41
2023;19.522;478;1,86;10.518;0,16;10,39
