Indicador;Candidatos cobertos;% dos elegíveis;Municípios
IDEB EM público (2023);698.753;68,0%;4.995
Saeb matemática EM público (2023);698.753;68,0%;4.995
Saeb português EM público (2023);698.753;68,0%;4.995
PIB per capita (R$, 2023);709.066;69,0%;5.475
Renda domiciliar per capita (R$, 2022);709.066;69,0%;5.475
Abandono EM total (%, 2023);709.065;69,0%;5.474
Aprovação EM total (%, 2023);709.065;69,0%;5.474
Reprovação EM total (%, 2023);709.065;69,0%;5.474
Distorção idade-série EM total (%, 2023);709.065;69,0%;5.474
População (habitantes, 2022);709.066;69,0%;5.475
População urbana (%, 2022);709.066;69,0%;5.475
Escolas EM com internet para alunos (%, 2023);709.065;69,0%;5.474
Escolas EM com laboratório de informática (%, 2023);709.065;69,0%;5.474
